name,address,specialty
臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
漂亮101皮膚科診所,臺北市文山區景美街20號2樓,"皮膚科,"
衛生福利部豐原醫院,臺中市豐原區安康路１００號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,西醫一般科,牙醫一般科,中醫一般科,"
光田醫療社團法人光田綜合醫院,臺中市沙鹿區沙田路117號（含大同街5-2號）,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
童綜合醫療社團法人童綜合醫院,臺中市梧棲區臺灣大道八段699號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
佛教慈濟醫療財團法人台中慈濟醫院,臺中市潭子區豐興路一段66、88號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
亞洲大學附屬醫院,臺中市霧峰區福新路222號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,牙醫一般科,中醫一般科,"
賢德醫院,臺中市太平區宜昌路420號,"家庭醫學科,內科,外科,兒科,骨科,泌尿科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,"
國軍臺中總醫院附設民眾診療服務處,臺中市太平區中山路二段３４８號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,牙醫一般科,中醫一般科,"
仁愛醫療財團法人大里仁愛醫院,臺中市大里區東榮路４８３號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,"
澄清綜合醫院,臺中市中區平等街139號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,復健科,麻醉科,放射診斷科,解剖病理科,急診醫學科,整形外科,牙醫一般科,"
台新醫院,臺中市東區振興路439之2號、439之3號及441號,"家庭醫學科,內科,外科,神經科,泌尿科,皮膚科,復健科,牙醫一般科,"
艾絲柏美學診所,臺中市西區精誠二街9號1、2樓,"整形外科,"
吳及時皮膚科診所,臺中市西區金山路１８－３號２樓,"皮膚科,"
群英整形外科診所,臺中市西區中興街183號11樓,"整形外科,"
君綺診所,臺中市西區中興街183號10樓,"整形外科,"
美加時尚美醫診所,臺中市西區向上路1段343號1樓、345號1樓、2樓,"整形外科,"
米秝琪整形外科診所,臺中市西區向上路1段107號1樓,"整形外科,"
衛生福利部臺中醫院,臺中市西區廣民里三民路1段199號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,"
馥安杏萃診所,臺中市西區館前路55號1樓,"皮膚科,"
小確幸皮膚科診所,臺中市西區英才路472號1、2、3樓,"皮膚科,"
菲仕美整形外科診所,臺中市西區臺灣大道二段307號7樓,"整形外科,"
誠美學診所,臺中市西區台灣大道二段239號5樓,"整形外科,"
采妍整形外科診所,臺中市西區民權路322號B1,"整形外科,"
時尚假期整形外科診所,臺中市西區臺灣大道二段103號1、2樓、夾層,"整形外科,"
格嘉整形外科診所,臺中市西區東興路3段272號2樓之1、之2,"整形外科,"
實美整形外科診所,臺中市西區台中市大和路３１、３３號,"整形外科,"
聖宜整形外科診所,臺中市西區英才路512號地下一層、1樓、2樓,"整形外科,"
優妮診所,臺中市南區忠明南路760號1樓,"皮膚科,"
中山醫學大學附設醫院,臺中市南區建國北路一段一一○號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
美之姿整形外科診所,臺中市北區陜西路22號1、2樓、24號1、2樓、26號1、2樓,"整形外科,"
中國醫藥大學兒童醫院,臺中市北區學士路95號(1樓至7樓)、學士路2號(1樓部分空間)、育德路1號(8樓部分空間),"外科,兒科,骨科,泌尿科,眼科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,急診醫學科,整形外科,牙醫一般科,"
中國醫藥大學附設醫院,臺中市北區育德路二號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
潘朵拉美學整形外科診所,臺中市北區進化北路349號1樓,"整形外科,"
賴炳文整形外科診所,臺中市北區北平路一段79號1、2樓,"整形外科,"
劉永森整形外科診所,臺中市北區學士路83號4樓,"整形外科,"
趙文琪整形外科診所,臺中市西屯區市政北三路127號1、2、3樓,"整形外科,"
周爾康整形外科診所,臺中市西屯區大隆路185號3樓,"整形外科,"
